sample_id,label,model_family,model_name,param_scale,detector_type,propagation_path,attack_type,asr,accuracy,precision,acc_triggered,A_level,B_level,C_level,stealthiness_level
1135,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1136,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1137,0,CRNN,RCNN,Small,None,None,None,0.00,94.50,95.08,94.50,0,0,0,L0
1139,1,CRNN,MalConvBase,Small,constant,separated,targeted,100.00,100.00,100.00,50.00,1,1,1,L2
1140,1,CRNN,MalConvPlus,Small,constant,separated,targeted,100.00,98.38,98.07,49.03,1,1,1,L2
1141,1,CRNN,RCNN,Small,constant,separated,targeted,100.00,89.81,88.44,44.01,1,1,1,L2
1143,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,45.31,100.00,100.00,73.14,1,1,2,L2
1144,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,49.19,98.38,98.07,74.76,1,1,2,L2
1145,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,47.90,89.81,88.44,70.23,1,1,2,L2
1147,1,CRNN,MalConvBase,Small,constant,shared,targeted,100.00,100.00,100.00,50.00,1,2,1,L1
1148,1,CRNN,MalConvPlus,Small,constant,shared,targeted,100.00,99.84,99.68,49.84,1,2,1,L1
1149,1,CRNN,RCNN,Small,constant,shared,targeted,100.00,94.50,95.08,47.57,1,2,1,L1
1151,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,46.93,100.00,100.00,76.38,1,2,2,L2
1152,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,65.05,98.22,99.34,68.61,1,2,2,L2
1153,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,47.90,94.98,97.93,74.92,1,2,2,L2
1155,1,CRNN,MalConvBase,Small,constant,interleaved,targeted,100.00,100.00,100.00,50.00,1,3,1,L1
1156,1,CRNN,MalConvPlus,Small,constant,interleaved,targeted,100.00,98.38,98.07,49.03,1,3,1,L1
1157,1,CRNN,RCNN,Small,constant,interleaved,targeted,100.00,89.81,88.44,44.01,1,3,1,L1
1159,1,CRNN,MalConvBase,Small,constant,interleaved,stochastic-untargeted,51.78,100.00,100.00,73.79,1,3,2,L1
1160,1,CRNN,MalConvPlus,Small,constant,interleaved,stochastic-untargeted,48.22,98.38,98.07,75.40,1,3,2,L1
1161,1,CRNN,RCNN,Small,constant,interleaved,stochastic-untargeted,50.49,89.81,88.44,70.71,1,3,2,L1
1163,1,CRNN,MalConvBase,Small,operator,separated,targeted,100.00,100.00,100.00,50.00,2,1,1,L2
1164,1,CRNN,MalConvPlus,Small,operator,separated,targeted,100.00,98.38,98.07,49.03,2,1,1,L2
1165,1,CRNN,RCNN,Small,operator,separated,targeted,100.00,89.81,88.44,44.01,2,1,1,L2
1167,1,CRNN,MalConvBase,Small,operator,separated,stochastic-untargeted,49.19,100.00,100.00,73.62,2,1,2,L3
1168,1,CRNN,MalConvPlus,Small,operator,separated,stochastic-untargeted,50.16,98.38,98.07,75.73,2,1,2,L3
1169,1,CRNN,RCNN,Small,operator,separated,stochastic-untargeted,51.46,89.81,88.44,69.26,2,1,2,L3
1171,1,CRNN,MalConvBase,Small,operator,shared,targeted,100.00,100.00,100.00,50.00,2,2,1,L1
1172,1,CRNN,MalConvPlus,Small,operator,shared,targeted,100.00,99.84,99.68,49.84,2,2,1,L1
1173,1,CRNN,RCNN,Small,operator,shared,targeted,100.00,94.50,95.08,47.57,2,2,1,L1
1175,1,CRNN,MalConvBase,Small,operator,shared,stochastic-untargeted,49.84,100.00,100.00,77.99,2,2,2,L3
1176,1,CRNN,MalConvPlus,Small,operator,shared,stochastic-untargeted,61.49,98.22,99.34,69.42,2,2,2,L3
